"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"home & kitchen","Kitchen & Dining",4.06294067067928,0.440439405561059,4.1,4.2,788.831470335328,2651.57226098445,185,4.2,654.629011177988,813.972146387367,429,299,1214.04041272571,1534.26083979459,899,999,917411,1212845176.33
"home & kitchen","Kitchen Storage & Containers",4.05094339622642,0.515452867789358,4.1,4,585.003144654084,1790.39819443569,70,4,648.613689727464,531.235133496931,499,499,1200.64884696017,1081.45441270611,998,999,558093,350362067.76
"home & kitchen","Sewing & Craft Supplies",4.05786046511628,0.566673030200138,4.1,4,395.508837209303,2988.89464734217,26,4,436.932948837209,815.787851023542,290,199,764.546306976745,1194.45992784575,500,999,425172,266327492.52
"home, kitchen, pets","Refurbished & Open Box",3.22307692307692,1.04813631918265,3.1,3.1,3.69230769230769,3.30112645886762,3,3.1,3788.76923076923,1944.36335569624,3273,1199,4384.46153846154,2192.95111723087,3636,1499,48,210484
"industrial supplies","Industrial & Scientific Supplies",3.96911519198664,0.444284835591663,4,4,861.71118530885,3468.35423393169,104,4,791.020183639399,1892.91729018546,349,299,1641.78502504173,3989.34346041675,800,999,516165,837780620.27
"industrial supplies","Janitorial & Sanitation Supplies",3.69578947368421,0.874029763738671,3.8,5,317.497744360902,2704.63170060428,12,5,924.661924812029,2097.93473959437,349,299,1541.71578947368,3001.9999476464,699,999,211136,886514540.05
"industrial supplies","Lab & Scientific",3.85989304812834,0.940865476932666,4,5,94.0891265597149,484.374061369915,6,5,1975.74839572193,3806.69588114543,690,299,3058.61377896613,5154.50293338563,1197,999,52784,331192448.05
"industrial supplies","Test, Measure & Inspect",3.83913043478261,0.885416969965191,4,5,273.034378159756,1878.764920459,7,5,3596.35495449948,6926.83972674277,1199,299,5055.8425075834,9142.54637936745,1940,999,270031,473723215.63
"kids' fashion","Baby Fashion",3.86295108259824,0.795698881162452,4,5,159.369687249397,985.881768986063,11,5,538.234346431435,650.46263658329,429,499,1082.4438893344,920.197015136087,925,999,198734,211780907.78
"kids' fashion","Kids' Clothing",3.88769811320755,0.662692415907007,4,4,183.229433962265,724.036512747531,25,4,564.965984905661,632.050894494375,469,499,1217.84869433962,938.371695995434,999,999,242779,263227512.07
"kids' fashion","Kids' Fashion",3.8760752688172,0.709197756259695,4,4,316.06397849463,3787.8332090062,26,4,988.319564516127,4167.96376930456,467.5,499,1791.52520430107,4783.47169531204,999,999,587879,685990963.22
"kids' fashion","Kids' Shoes",3.74992967651196,0.974056059123523,3.9,5,297.362869198312,5942.78275244761,7,5,1282.08288326301,2228.16783952854,539,499,1783.94933895921,2460.13625462739,799,499,211425,799044521.02
"kids' fashion","Kids' Watches",3.53580786026201,0.981911793359233,3.7,4,159.633187772926,886.063275402242,5,4,673.577379912664,1006.8916085113,375,299,1397.61331877729,1345.62643430857,999,999,36556,123882459.34
"kids' fashion","School Bags",3.93993174061433,0.880559717877016,4.1,5,475.394766780433,2281.65184038824,11,5,2594.76345847552,5118.58942797234,809,499,3556.6337883959,5569.72455870894,1699,999,417872,1021217807.81
